Categories,Hints
6,your phone number not contain letter or symbol other than - #
10,your headline is too short
14,invalid zip code
7,you must be at least taggedascd year of age
1,acceptable username is not less than taggedascd character
17,your chosen maximum salary is lower than your chosen minimum salary
12,date is too small
7,"taggedascd , taggedascd or more year"
6,not use blank space in username
9,specify your weight between taggedascd and taggedascd
1,please make sure the password you have entered are at least taggedascd character in length
15,confirm password does not match with password
14,seems like a wrong password
11,maximum letter limit exceeded
11,first name entered too long
1,your password needs to have at least taggedascd uppercase letter
11,your entry for the about field is too long
15,repeat password
3,taggedascd to taggedascd digit
16,input a different email
7,expiration date must be at least taggedascd day from today
8,selection under taggedascd kind
2,username s length should be shorter than taggedascd character
8,child no more than taggedascd year old
14,invalid email id
18,the phone number you entered is too short for the country
1,please enter a password that is at least taggedascd character long
4,last taggedascd phone number
2,username not more than taggedascd character
4,pin taggedascd digit
6,card number or card pin no space
10,please choose a longer username
16,account already exist with provided phone number
16,this username already taken
2,length less than taggedascd character
6,username must not contain any special character
11,your postcode is too long !
5,your username must have number
13,your date of birth indicates you are too old to use this app
2,password length less than taggedascd
1,password need to be at least taggedascd character long
6,please not use a whitespace in your username
10,username does not meet minimum requirement
8,child less than taggedascd year old
15,email address do not match
5,your username is only allowed to contain uppercase letter
16,this account has been taken
12,date is too small
17,your chosen maximum salary is lower than your chosen minimum salary
2,phone number within taggedascd character
16,account already exist
14,this pwd is too weak
6,name not start with numbering
3,your username must be between taggedascd and taggedascd character
2,title within taggedascd letter
11,please choose a shorter username
9,year range is taggedascd to taggedascd
9,week range taggedascd to taggedascd
13,maximum age limit exceeded
14,wrong e-mail address
10,username does not meet minimum requirement
8,child no more than taggedascd year old
2,first name no more than taggedascd letter
16,input a different email
9,age range taggedascd to taggedascd
16,please input a new account
7,your must be at least taggedascd year old
13,your date of birth indicates you are too old to use this app
13,the amount which you have specified exceed your limit
14,that s not the right code
10,your verify code is too short !
7,need at least taggedascd point to reedem
12,date is too small
9,delivery distance between taggedascd and taggedascd
1,password must be more than taggedascd character
3,username between taggedascd and taggedascd character
7,expiration date must be at least taggedascd day from today
6,"not contain , or -"
4,taggedascd uppercase
14,password with invalid length
7,height not more than taggedascd cm
11,password entered too long
6,username not special character
14,mailbox format error
15,password not match
9,specify your ideal weight between taggedascd and taggedascd
14,invalid age
4,taggedascd character password
11,first name entered too long
9,specify your ideal salary between taggedascd and taggedascd
8,height under taggedascd meter
1,password must have at least taggedascd character
15,entered email differ
17,your chosen maximum salary is lower than your chosen minimum salary
14,the mobile invalid
2,taggedascd or less length
8,choice under taggedascd kind
14,the phone number you entered not valid
17,your chosen minimum salary is higher than your chosen maximum salary
